company_id|company_no|company_name|company_intype|company_constitution|company_incorporation|company_objectives|company_industrya|company_industryb|company_website|company_staffid|company_comment|company_remark|company_country|company_gst|company_activate|company_financialyearend
152|809096-X|PEMBINAAN GEMILANG THUAN SDN. BHD.|Own|Private Limited|07/03/2008|||||4|||Malaysia||t|28/02/2016
153|797546-T|PEOPLE SYSTEMS CONSULTANCY SDN. BHD.|Own|Private Limited|29/11/2007|||||4|||Malaysia||t|31/12/2017
154|1229188-M|POSITIVE UPSTREAM SDN. BHD.|Takeover|Private Limited|02/05/2017|||||4|||Malaysia||t|01/01/2017
155|766001-D|PREMIER GREEN SDN. BHD.|Own|Private Limited|16/03/2007|||||4|||Malaysia||t|31/12/2017
62|886124-A|E-POWER ENGINEERING SDN. BHD.|Own|Private Limited|13/01/2010|||||4|||Malaysia||f|31/03/2013
156|1132230-V|PRISTINE PRIMAVERA SDN. BHD.|Takeover|Private Limited|18/02/2015|||||4|||Malaysia||f|31/12/2017
158|786042-P|PRATISTA SDN.BHD|Takeover|Private Limited|24/08/2007|||||4|||Malaysia||f|31/12/2017
159|786042-P|PSB RESOURCES SDN. BHD.|Takeover|Private Limited|24/08/2007|||||4|||Malaysia||t|31/12/2017
160|1069548-V|QUAM VALVOLE SDN. BHD.|Own|Private Limited|08/11/2013|||||4|||Malaysia||t|01/01/2017
161|1161861-A|RDS CATERING SDN. BHD.|Own|Private Limited|09/10/2015|||||4|||Malaysia||t|31/12/2017
162|660758-V|REGAL OUTLET SDN BHD|Takeover|Private Limited|26/07/2004|||||4|||Malaysia||t|31/12/2017
163|744761-A|RETAIL ONE SDN. BHD.|Own|Private Limited|18/08/2006|||||4|||Malaysia||t|31/12/2017
164|804137-H|SAINTOP DEVELOPMENT SDN. BHD.|Own|Private Limited|24/01/2008|||||4|||Malaysia||t|31/01/2017
166|899394-H|SCALA BIO INTL SDN. BHD.|Own|Private Limited|22/04/2010|||||4|||Malaysia||t|30/04/2013
167|1086052-T|SEA MOBILE SDN. BHD.|Own|Private Limited|24/03/2014|||||4|||Malaysia||t|31/12/2017
168|896814-D|SES IT SOLUTIONS SDN. BHD.|Own|Private Limited|01/04/2010|||||4|||Malaysia||t|30/06/2017
169|807165-M|SOLDERFIELD SYSTEM SDN. BHD.|Own|Private Limited|21/02/2008|||||4|||Malaysia||t|31/12/2017
170|1146188-U|SUMIKAWA SYSTEMS SDN. BHD.|Own|Private Limited|28/05/2015|||||4|||Malaysia||t|01/01/2017
171|830858-V|SP ADVANCE SDN. BHD.|Own|Private Limited|27/08/2008|||||4|||Malaysia||t|31/12/2017
172|483346-T|SALURAN MAYANG SDN. BHD.|Own|Private Limited|12/05/1999|||||4|||Malaysia||t|30/06/2017
174|611783-K|SUNRISE MEDIA SDN. BHD.|Own|Private Limited|10/04/2003|||||4|||Malaysia||t|30/09/2017
173|611783-K|SUNRISE MEDIA SDN. BHD.|Own|Private Limited|10/04/2003|||||4|||Malaysia||f|30/09/2017
175|611783-K|SUNRISE MEDIA SDN. BHD.|Own|Private Limited|10/04/2003|||||4|||Malaysia||f|30/09/2017
177|1081688-H|SW HVAC SDN. BHD.|Own|Private Limited|21/02/2014|||||4|||Malaysia||t|01/01/2017
178|1064152-W|SWEET MATRIX SDN. BHD.|Takeover|Private Limited|30/09/2013|||||4|||Malaysia||t|31/12/2017
179|1123321-D|SWISHHAIR RESOURCES & MANAGEMENT SDN. BHD.|Own|Private Limited|17/12/2014|||||4|||Malaysia||t|01/01/2017
180|1052444-D|TAIHONG MINING SDN. BHD.|Own|Private Limited|02/07/2013|||||4|||Malaysia||t|30/06/2017
181|1193446-U|TECHNISIST SDN. BHD|Own|Private Limited|30/06/2016|||||4|||Malaysia||t|01/01/2017
182|667155-W|TECHNILON SDN. BHD.|Own|Private Limited|24/09/2004|||||4|||Malaysia||t|30/11/2007
184|834924-K|TNCENTURY SDN. BHD.|Own|Private Limited|09/10/2008|||||4|||Malaysia||t|31/12/2016
185|680593-P|TECFORTE SDN. BHD.|Own|Private Limited|04/02/2005|||||4|||Malaysia||t|31/12/2017
186|648696-H|TEMASEK MAHIR SDN. BHD.|Own|Private Limited|12/04/2004|||||4|||Malaysia||t|30/04/2017
187|611120-X|TELEEYE MALAYSIA SDN. BHD.|Own|Private Limited|03/04/2003|||||4|||Malaysia||t|31/03/2017
