payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
344|316|06/04/2018|6|840|50.4|890.4|Cheque||f|Key in wrongly|2|RHB Bank Berhad|OCBC Bank (Malaysia) Berhad|04/04/2018|Local|26|22058
452|316|06/04/2018|6|1240|65.4|1305.4|Cheque||t||2|RHB Bank Berhad|OCBC Bank (Malaysia) Berhad|04/04/2018|Local|26|22058
453|413|25/04/2018|6|651.32|39.08|690.4|Transfer||t||2|RHB Bank Berhad|||||22173
455|701|25/04/2018|6|400|15|415|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|23/04/2018|Local|335503|22176
456|617|25/04/2018|6|1818.6|100.12|1918.72|Transfer||t||2|RHB Bank Berhad|||||22177
457|128|25/04/2018|6|27|1.62|28.62|Transfer||t||2|RHB Bank Berhad|||||22179
458|538|25/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22181
459|202|25/04/2018|6|1520|82.2|1602.2|Transfer||t||2|RHB Bank Berhad|||||22182
460|795|25/04/2018|6|416.04|24.96|441|Transfer||t||2|RHB Bank Berhad|||||22183
454|724|25/04/2018|6|1300|69|1369|Cheque||f|Wrong Company|2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|25/04/2018|Local|945774|22174
461|827|25/04/2018|6|15|0.9|15.9|Cash||t||2|RHB Bank Berhad|||||22174
463|597|26/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22184
464|135|26/04/2018|6|1072|61.32|1133.32|Transfer||t||2|RHB Bank Berhad|||||22185
465|595|26/04/2018|6|64|3.84|67.84|Cheque||t||2|RHB Bank Berhad|HSBC Bank Malaysia Berhad|26/04/2018|Local|433524|22186
466|596|26/04/2018|6|69|4.14|73.14|Cheque||t||2|RHB Bank Berhad|HSBC Bank Malaysia Berhad|26/04/2018|Local|403870|22187
467|488|26/04/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|26/04/2018|Local|96211|22188
468|126|26/04/2018|6|583.4|33.2|616.6|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|27/04/2018|Local|3921|22189
470|556|26/04/2018|6|339|20.34|359.34|Transfer||t||2|RHB Bank Berhad|||||22191
471|550|26/04/2018|6|339|20.34|359.34|Transfer||t||2|RHB Bank Berhad|||||22192
472|397|26/04/2018|6|1348.02|56.88|1404.9|Transfer||t||2|RHB Bank Berhad|||||22193
473|364|26/04/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22195
