fee_id|company_id|fee_category|fee_type|fee_description|fee_billduration|fee_amount|fee_billto|fee_billingdescription
459|495|SR|Fee|SecFee|12|840|20/01/2019|Secretarial Fee + Registered Office
438|474|SR|Fee|SecFee|12|840|11/06/2018|Secretarial Fee + Registered Office
348|383|SR|Fee|SecFee|12|840|01/02/2019|Secretarial Fee + Registered Office
366|402|SR|Fee|SecFee|12|840|17/02/2019|Secretarial Fee + Registered Office
381|417|SR|Fee|SecFee|12|840|18/02/2019|Secretarial Fee + Registered Office
378|414|SR|Fee|SecFee|12|840|23/02/2019|Secretarial Fee + Registered Office
396|432|SR|Fee|SecFee|12|840|06/03/2019|Secretarial Fee + Registered Office
377|413|SR|Fee|SecFee|12|840|27/01/2019|Secretarial Fee + Registered Office
412|448|SR|Fee|SecFee|12|840|28/02/2019|Secretarial Fee + Registered Office
433|469|SR|Fee|SecFee|12|840|14/03/2019|Secretarial Fee + Registered Office
372|408|SR|Fee|SecFee|12|840|14/03/2019|Secretarial Fee + Registered Office
353|389|SR|Fee|SecFee|12|840|20/03/2019|Secretarial Fee + Registered Office
346|381|SR|Fee|SecFee|12|840|24/03/2019|Secretarial Fee + Registered Office
435|471|SR|Fee|SecFee|12|840|24/03/2019|Secretarial Fee + Registered Office
369|405|SR|Fee|SecFee|12|840|25/03/2019|Secretarial Fee + Registered Office
365|401|SR|Fee|SecFee|12|840|25/03/2019|Secretarial Fee + Registered Office
387|423|SR|Fee|SecFee|12|840|31/03/2019|Secretarial Fee + Registered Office
357|393|SR|Fee|SecFee|12|840|02/04/2019|Secretarial Fee + Registered Office
388|424|SR|Fee|SecFee|12|840|06/04/2019|Secretarial Fee + Registered Office
419|455|SR|Fee|SecFee|12|840|23/04/2019|Secretarial Fee + Registered Office
425|461|SR|Fee|SecFee|12|840|23/04/2019|Secretarial Fee + Registered Office
354|390|SR|Fee|SecFee|12|840|26/04/2019|Secretarial Fee + Registered Office
404|440|SR|Fee|SecFee|12|840|28/04/2019|Secretarial Fee + Registered Office
360|396|SR|Fee|SecFee|12|840|28/04/2019|Secretarial Fee + Registered Office
390|426|SR|Fee|SecFee|12|840|28/04/2019|Secretarial Fee + Registered Office
350|386|SR|Fee|SecFee|12|840|07/05/2019|Secretarial Fee + Registered Office
418|454|SR|Fee|SecFee|12|840|12/05/2019|Secretarial Fee + Registered Office
440|476|SR|Fee|SecFee|12|840|16/08/2018|Secretarial Fee + Registered Office
442|478|SR|Fee|SecFee|12|780|01/08/2016|Secretarial Fee + Registered Office
443|479|SR|Fee|SecFee|12|840|31/07/2018|Secretarial Fee + Registered Office
445|481|SR|Fee|SecFee|12|840|17/08/2018|Secretarial Fee + Registered Office
446|482|SR|Fee|SecFee|12|840|17/05/2018|Secretarial Fee + Registered Office
447|483|SR|Fee|SecFee|12|840|29/08/2018|Secretarial Fee + Registered Office
448|484|SR|Fee|SecFee|12|840|31/05/2018|Secretarial Fee + Registered Office
449|485|SR|Fee|SecFee|12|840|22/06/2018|Secretarial Fee + Registered Office
450|486|SR|Fee|SecFee|12|840|18/07/2018|Secretarial Fee + Registered Office
453|489|SR|Fee|SecFee|12|840|07/07/2018|Secretarial Fee + Registered Office
455|491|SR|Fee|SecFee|12|840|30/08/2018|Secretarial Fee + Registered Office
458|494|SR|Fee|SecFee|12|840|06/07/2018|Secretarial Fee + Registered Office
460|496|SR|Fee|SecFee|12|840|29/06/2018|Secretarial Fee + Registered Office
462|498|SR|Fee|SecFee|12|840|09/08/2018|Secretarial Fee + Registered Office
463|499|SR|Fee|SecFee|12|840|16/08/2018|Secretarial Fee + Registered Office
465|501|SR|Fee|SecFee|12|840|26/07/2018|Secretarial Fee + Registered Office
466|502|SR|Fee|SecFee|12|840|09/09/2018|Secretarial Fee + Registered Office
468|506|SR|Fee|SecFee|12|840|23/07/2018|Secretarial Fee + Registered Office
471|511|SR|Fee|SecFee|12|840|01/07/2018|Secretarial Fee + Registered Office
485|526|SR|Fee|SecFee|12|840|17/06/2018|Secretarial Fee + Registered Office
488|529|SR|Fee|SecFee|12|840|10/06/2018|Secretarial Fee + Registered Office
491|533|SR|Fee|SecFee|12|840|01/06/2018|Secretarial Fee + Registered Office
492|534|SR|Fee|SecFee|12|840|12/07/2018|Secretarial Fee + Registered Office
494|536|SR|Fee|SecFee|12|840|01/07/2018|Secretarial Fee + Registered Office
502|544|SR|Fee|SecFee|12|840|01/09/2018|Secretarial Fee + Registered Office
504|546|SR|Fee|SecFee|12|840|30/06/2018|Secretarial Fee + Registered Office
505|547|SR|Fee|SecFee|12|840|22/08/2018|Secretarial Fee + Registered Office
510|552|SR|Fee|SecFee|12|840|28/08/2018|Secretarial Fee + Registered Office
584|629|SR|Fee|SecFee|12|840|06/01/2020|Secretarial Fee + Registered Office
516|558|SR|Fee|SecFee|12|840|01/07/2018|Secretarial Fee + Registered Office
517|559|SR|Fee|SecFee|12|840|03/08/2018|Secretarial Fee + Registered Office
554|598|SR|Fee|SecFee|12|840|16/01/2019|Secretarial Fee + Registered Office
520|564|SR|Fee|SecFee|12|840|13/07/2018|Secretarial Fee + Registered Office
522|566|SR|Fee|SecFee|12|840|10/08/2018|Secretarial Fee + Registered Office
523|567|SR|Fee|SecFee|12|840|26/07/2018|Secretarial Fee + Registered Office
524|568|SR|Fee|SecFee|12|840|17/06/2018|Secretarial Fee + Registered Office
568|612|SR|Fee|SecFee|12|840|21/01/2019|Secretarial Fee + Registered Office
527|571|SR|Fee|SecFee|12|840|27/06/2018|Secretarial Fee + Registered Office
530|574|SR|Fee|SecFee|12|840|06/07/2018|Secretarial Fee + Registered Office
531|575|SR|Fee|SecFee|12|840|26/07/2018|Secretarial Fee + Registered Office
532|576|SR|Fee|SecFee|12|840|26/06/2018|Secretarial Fee + Registered Office
536|580|SR|Fee|SecFee|12|840|01/09/2018|Secretarial Fee + Registered Office
537|581|SR|Fee|SecFee|12|840|14/07/2018|Secretarial Fee + Registered Office
540|584|SR|Fee|SecFee|12|840|07/05/2018|Secretarial Fee + Registered Office
543|587|SR|Fee|SecFee|12|840|05/08/2018|Secretarial Fee + Registered Office
514|556|SR|Fee|SecFee|12|840|10/02/2019|Secretarial Fee + Registered Office
498|540|SR|Fee|SecFee|12|840|12/02/2019|Secretarial Fee + Registered Office
533|577|SR|Fee|SecFee|12|840|17/02/2019|Secretarial Fee + Registered Office
521|565|SR|Fee|SecFee|12|840|20/02/2019|Secretarial Fee + Registered Office
528|572|SR|Fee|SecFee|12|840|22/02/2019|Secretarial Fee + Registered Office
499|541|SR|Fee|SecFee|12|840|27/02/2019|Secretarial Fee + Registered Office
529|573|SR|Fee|SecFee|12|840|27/02/2019|Secretarial Fee + Registered Office
542|586|SR|Fee|SecFee|12|840|05/03/2019|Secretarial Fee + Registered Office
474|515|SR|Fee|SecFee|12|840|07/03/2019|Secretarial Fee + Registered Office
473|514|SR|Fee|SecFee|12|840|07/03/2019|Secretarial Fee + Registered Office
475|516|SR|Fee|SecFee|12|840|07/03/2019|Secretarial Fee + Registered Office
461|497|SR|Fee|SecFee|12|840|22/03/2019|Secretarial Fee + Registered Office
477|518|SR|Fee|SecFee|12|840|02/04/2019|Secretarial Fee + Registered Office
501|543|SR|Fee|SecFee|12|840|09/04/2019|Secretarial Fee + Registered Office
539|583|SR|Fee|SecFee|12|840|14/04/2019|Secretarial Fee + Registered Office
