job_id|createdby_userid|assignto_mappingid|job_entrydate|company_id|job_remark|job_isposted
189|6|13|2018-01-17|346|""|t
190|9|10|2018-01-17|520|""|t
191|7|8|2018-01-17|309|""|t
193|3|2|2018-01-17|132|""|t
194|3|2|2018-01-17|132|""|t
192|4|4|2018-01-17|728|""|t
195|4|4|2018-01-17|728|""|t
196|7|8|2018-01-17|245|""|t
197|7|8|2018-01-17|339|""|t
198|9|10|2018-01-17|533|""|t
199|9|10|2018-01-17|720|""|t
200|3|2|2018-01-17|106|""|t
201|3|2|2018-01-17|322|""|t
202|7|8|2018-01-17|355|""|t
203|9|10|2018-01-17|515|""|t
204|4|4|2018-01-18|39|""|t
205|7|8|2018-01-18|453|""|t
206|4|4|2018-01-18|126|""|t
207|4|4|2018-01-18|126|""|t
208|4|4|2018-01-18|126|""|t
1324|8|9|2018-05-14|172|""|t
215|8|9|2018-01-18|157|""|t
216|6|13|2018-01-18|453|""|t
1345|12|17|2018-05-16|607|Annual Return @ 2018-05-20|t
219|2|2|2018-01-18|453|""|t
220|4|4|2018-01-18|163|""|t
221|8|9|2018-01-18|183|""|t
222|8|9|2018-01-18|53|""|t
223|8|9|2018-01-18|53|""|t
224|4|4|2018-01-18|163|""|t
1357|12|17|2018-05-16|607|FS@2017-12-31|t
226|2|2|2018-01-18|375|""|t
228|8|9|2018-01-19|90|""|t
229|8|9|2018-01-19|84|""|t
1368|7|8|2018-05-18|262|""|t
1378|11|16|2018-05-21|248|""|t
234|8|9|2018-01-19|763|""|t
235|6|13|2018-01-19|366|""|t
236|2|2|2018-01-19|718|""|t
237|6|15|2018-01-19|591|""|t
238|7|8|2018-01-19|477|""|t
239|7|8|2018-01-19|366|""|t
240|5|6|2018-01-19|776|""|t
241|8|9|2018-01-19|104|""|t
243|2|2|2018-01-19|290|""|t
244|8|9|2018-01-19|132|""|t
245|5|6|2018-01-19|591|""|t
246|8|9|2018-01-22|82|""|t
247|8|9|2018-01-22|185|""|t
248|9|10|2018-01-22|677|""|t
250|2|2|2018-01-22|285|""|t
251|4|4|2018-01-22|153|""|t
252|2|2|2018-01-22|274|""|t
254|4|4|2018-01-22|777|""|t
253|4|4|2018-01-22|777|""|t
255|4|4|2018-01-22|777|""|t
256|7|8|2018-01-22|733|""|t
258|2|2|2018-01-23|778|""|t
259|9|10|2018-01-23|497|""|t
260|7|8|2018-01-23|399|""|t
261|7|8|2018-01-23|399|""|t
1392|11|16|2018-05-21|307|""|t
263|2|8|2018-01-23|439|""|t
264|9|10|2018-01-23|610|""|t
265|2|2|2018-01-23|349|""|t
266|7|8|2018-01-23|285|""|t
267|2|2|2018-01-23|207|""|t
269|6|13|2018-01-23|349|""|t
268|6|13|2018-01-23|351|""|t
270|9|10|2018-01-23|693|""|t
271|9|10|2018-01-23|693|""|t
272|9|10|2018-01-23|693|""|t
273|9|10|2018-01-23|613|""|t
274|2|2|2018-01-23|342|""|t
276|7|8|2018-01-23|433|""|t
1400|8|9|2018-05-22|726|""|t
1407|12|17|2018-05-23|569|FS@2017-12-31|t
1413|12|17|2018-05-23|570|FS@2017-12-31|t
1385|4|4|2018-05-21|813|""|t
275|7|8|2018-01-23|465|""|t
277|2|2|2018-01-23|325|""|t
278|2|2|2018-01-23|325|""|t
279|4|4|2018-01-24|199|""|t
280|8|9|2018-01-24|19|""|t
281|9|10|2018-01-24|591|""|t
282|9|10|2018-01-24|591|""|t
283|9|10|2018-01-24|591|""|t
284|6|13|2018-01-24|519|""|t
285|7|8|2018-01-24|468|""|t
286|5|6|2018-01-24|641|""|t
287|5|6|2018-01-24|641|""|t
288|2|2|2018-01-24|228|""|t
289|6|14|2018-01-24|172|""|t
290|9|10|2018-01-25|632|""|t
291|8|9|2018-01-25|750|""|t
292|9|10|2018-01-25|610|""|t
293|7|8|2018-01-25|460|""|t
294|9|10|2018-01-25|723|""|t
295|5|6|2018-01-25|705|""|t
296|8|9|2018-01-25|750|""|t
297|4|4|2018-01-25|77|""|t
298|8|9|2018-01-26|779|""|t
299|8|9|2018-01-26|197|""|t
301|9|10|2018-01-26|608|""|t
302|5|6|2018-01-26|552|""|t
303|9|10|2018-01-26|608|""|t
209|3|2|2018-01-18|-1|""|f
304|9|10|2018-01-29|643|""|t
350|7|8|2018-02-03|422|""|t
305|5|6|2018-01-29|600|Overdraft Facilities with RHB Bank|t
306|9|10|2018-01-29|643|""|t
307|5|6|2018-01-29|606|""|t
308|6|15|2018-01-29|600|""|t
767|5|6|2018-03-20|552|""|t
309|9|10|2018-01-29|671|""|t
310|8|9|2018-01-30|45|""|t
311|7|8|2018-01-30|780|""|t
312|9|10|2018-01-30|507|""|t
313|9|10|2018-01-30|623|""|t
314|9|10|2018-01-30|497|""|t
315|6|14|2018-01-30|54|""|t
316|8|9|2018-01-30|39|""|t
317|8|9|2018-01-30|39|""|t
318|9|10|2018-01-30|657|""|t
319|8|9|2018-01-30|108|""|t
321|2|2|2018-01-30|415|""|t
322|2|2|2018-02-02|285|""|t
323|7|8|2018-02-02|398|""|t
324|7|8|2018-02-02|468|""|t
325|7|8|2018-02-02|295|""|t
326|7|8|2018-02-02|275|""|t
327|9|10|2018-02-02|553|""|t
328|7|8|2018-02-02|275|""|t
329|2|1|2018-02-02|657|""|t
342|3|2|2018-02-02|434|""|t
330|7|8|2018-02-02|475|""|t
331|7|8|2018-02-02|475|""|t
337|6|13|2018-02-02|434|""|t
336|6|14|2018-02-02|172|""|t
335|6|14|2018-02-02|55|""|t
334|6|15|2018-02-02|657|""|t
333|6|13|2018-02-02|207|""|t
339|2|2|2018-02-02|447|""|t
338|2|2|2018-02-02|307|""|t
340|2|1|2018-02-02|515|""|t
341|7|8|2018-02-02|742|""|t
343|6|14|2018-02-03|114|""|t
345|6|13|2018-02-03|447|""|t
344|6|13|2018-02-03|307|""|t
320|3|2|2018-01-30|415|""|t
347|2|1|2018-02-03|782|""|t
348|9|10|2018-02-03|657|""|t
349|4|4|2018-02-03|3|""|t
351|7|8|2018-02-03|781|""|t
352|9|10|2018-02-03|514|""|t
353|8|9|2018-02-05|199|""|t
354|8|9|2018-02-05|169|""|t
356|7|8|2018-02-05|312|""|t
357|6|15|2018-02-05|600|""|t
1336|6|13|2018-05-15|748|""|t
361|4|4|2018-02-05|-1|""|f
363|9|10|2018-02-05|538|""|t
364|9|10|2018-02-05|538|""|t
365|9|10|2018-02-05|735|""|t
366|2|2|2018-02-05|751|""|t
367|7|8|2018-02-05|784|""|t
369|12|17|2018-02-06|622|""|t
370|9|10|2018-02-06|561|""|t
371|9|10|2018-02-06|561|""|t
372|11|16|2018-02-06|317|""|t
1347|12|17|2018-05-16|68|Annual Return @ 2018-05-25|t
771|5|6|2018-03-20|515|""|t
374|11|16|2018-02-06|286|Financial Statement|t
776|8|9|2018-03-20|183|""|t
781|3|2|2018-03-20|798|""|t
375|12|17|2018-02-06|68|""|t
1358|9|10|2018-05-17|514|""|t
376|11|16|2018-02-06|286|""|t
378|6|15|2018-02-06|698|""|t
379|2|1|2018-02-06|137|""|t
786|12|17|2018-03-20|83|Change of Director|t
790|8|9|2018-03-20|119|""|t
794|7|8|2018-03-20|328|""|t
798|8|9|2018-03-21|143|""|t
673|4|4|2018-03-12|738|""|t
671|4|4|2018-03-12|738|""|t
670|4|4|2018-03-12|738|""|t
651|4|4|2018-03-08|189|""|t
380|5|6|2018-02-06|552|""|t
381|8|9|2018-02-06|35|""|t
649|4|4|2018-03-08|188|""|t
648|4|4|2018-03-08|188|""|t
647|4|4|2018-03-08|188|""|t
631|4|4|2018-03-07|197|""|t
607|4|4|2018-03-05|193|""|t
600|4|4|2018-03-03|153|""|t
592|4|4|2018-03-02|33|""|t
585|4|4|2018-03-02|54|""|t
581|4|4|2018-03-01|789|""|t
568|4|4|2018-02-27|132|""|t
529|4|4|2018-02-21|789|""|t
509|4|4|2018-02-20|150|""|t
497|4|4|2018-02-15|150|""|t
489|4|4|2018-02-14|111|""|t
480|4|4|2018-02-14|188|""|t
1369|3|2|2018-05-18|824|""|t
1325|4|4|2018-05-14|172|""|t
257|3|2|2018-01-23|778|""|t
383|7|8|2018-02-06|717|""|t
384|12|17|2018-02-06|581|""|t
385|9|10|2018-02-06|524|""|t
386|9|10|2018-02-06|524|""|t
387|9|10|2018-02-06|524|""|t
1337|8|9|2018-05-15|56|""|t
391|9|10|2018-02-07|682|""|t
392|11|16|2018-02-07|422|""|t
393|2|2|2018-02-07|290|""|t
463|2|2|2018-02-13|325|""|t
394|12|17|2018-02-07|534|FS@2017-07-31|t
395|9|10|2018-02-07|497|""|t
396|11|16|2018-02-07|458|""|t
397|2|1|2018-02-07|404|""|t
398|2|1|2018-02-07|778|""|t
399|7|8|2018-02-07|393|""|t
400|2|1|2018-02-07|719|""|t
401|2|1|2018-02-07|719|""|t
438|5|6|2018-02-09|558|""|t
402|2|1|2018-02-07|719|""|t
403|2|1|2018-02-07|719|""|t
405|2|2|2018-02-07|357|""|t
406|8|9|2018-02-07|51|""|t
407|9|10|2018-02-07|586|""|t
408|9|10|2018-02-07|586|""|t
1348|8|9|2018-05-16|130|""|t
412|9|10|2018-02-08|641|""|t
1359|9|10|2018-05-17|524|""|t
415|2|1|2018-02-08|137|""|t
416|7|8|2018-02-08|746|""|t
417|2|2|2018-02-08|719|""|t
418|11|16|2018-02-08|399|""|t
419|9|10|2018-02-08|692|""|t
420|9|10|2018-02-08|692|""|t
422|11|16|2018-02-08|774|""|t
1361|9|10|2018-05-17|516|""|t
424|11|16|2018-02-08|344|""|t
425|9|10|2018-02-08|594|""|t
426|7|8|2018-02-08|221|""|t
782|6|13|2018-03-20|215|""|t
777|4|4|2018-03-20|726|""|t
1370|12|17|2018-05-18|148|FS@2017-12-31|t
772|4|4|2018-03-20|740|""|t
437|12|17|2018-02-09|572|AR@2018-02-23|t
428|7|8|2018-02-08|219|""|t
464|9|10|2018-02-13|547|""|t
429|7|8|2018-02-09|785|""|t
430|5|6|2018-02-09|515|""|t
413|5|6|2018-02-08|659|""|t
411|5|6|2018-02-07|539|""|t
404|5|6|2018-02-07|698|""|t
431|12|17|2018-02-09|565|""|t
499|4|4|2018-02-19|113|""|t
1379|9|10|2018-05-21|552|""|t
432|7|8|2018-02-09|785|""|t
433|7|8|2018-02-09|300|""|t
434|5|6|2018-02-09|519|""|t
435|9|10|2018-02-09|671|""|t
1386|9|10|2018-05-21|688|""|t
1393|8|9|2018-05-21|154|""|t
436|12|17|2018-02-09|572|AR@2018-02-23|t
439|5|6|2018-02-09|660|""|t
440|2|2|2018-02-09|786|""|t
441|12|17|2018-02-09|507|AR@2018-02-24|t
442|5|6|2018-02-09|661|""|t
1401|7|8|2018-05-22|269|""|t
445|11|16|2018-02-09|331|""|t
446|12|17|2018-02-09|678|AR@2018-02-25|t
447|12|17|2018-02-12|38|AR@2018-03-03|t
448|7|8|2018-02-12|337|""|t
449|5|6|2018-02-12|600|""|t
1408|5|6|2018-05-23|656|""|t
452|2|2|2018-02-12|268|""|t
453|11|16|2018-02-12|712|""|t
454|12|17|2018-02-12|683|AR@2018-02-27|t
455|7|8|2018-02-12|460|""|t
456|8|9|2018-02-12|184|""|t
457|2|2|2018-02-12|330|""|t
458|2|2|2018-02-12|315|""|t
459|11|16|2018-02-13|499|""|t
1414|7|8|2018-05-23|718|""|t
1420|5|6|2018-05-23|591|""|t
465|9|10|2018-02-13|599|""|t
467|11|16|2018-02-13|402|""|t
1426|3|2|2018-05-23|211|""|t
468|9|10|2018-02-13|601|""|t
469|7|8|2018-02-13|733|""|t
470|11|16|2018-02-13|414|""|t
471|12|17|2018-02-13|155|AR@2018-03-16|t
472|11|16|2018-02-13|308|""|t
1432|11|16|2018-05-24|463|""|t
473|8|9|2018-02-13|188|""|t
